id,domain,sentence
42,work,ខ្ញុំទើបតែ got promoted ទៅជា Senior កាលពីម្សិលមិញ។
43,work,"Office យើងថ្ងៃនេះអត់សូវមានអ្នកមកសោះ, work from home ច្រើន។"
44,work,ឯងជួយ draft email ហ្នឹងឲ្យខ្ញុំមួយបានអត់?
45,work,ខ្ញុំកំពុងតែ run data ហ្នឹងសិន។
46,work,"បើមាន update អីថ្មី, let me know ផង។"
47,work,Manager គាត់សរសើរថា presentation យើងឡូយ។
48,work,"ខ្ញុំអត់សូវ sure ទេ, better ask គាត់សិនទៅ។"
49,work,យើងត្រូវ follow standard procedure របស់ក្រុមហ៊ុន។
50,work,ការងារនេះត្រូវ detail-oriented ខ្លាំងណាស់។
51,school,អាទិត្យក្រោយមាន midterm exam ទៀតហើយ។
52,school,លោកគ្រូ assign homework ច្រើនណាស់ថ្ងៃហ្នឹង។
53,school,តោះទៅ library ធ្វើ group project យើង។
54,school,ឯងមានបាន review មេរៀនដែល teacher បង្រៀនម្សិលមិញអត់?
55,school,ខ្ញុំភ្លេចយក textbook មកសាលាថ្ងៃនេះ។
56,school,Assignment នេះត្រូវ submit តាម Google Classroom.
57,school,សុំមើល lecture slide ហ្នឹងបន្តិចមក។
58,school,"ថ្ងៃនេះអត់មាន class ទេ, គ្រូសុំច្បាប់។"
59,school,I got an A សម្រាប់មុខវិជ្ជាហ្នឹង!
60,school,ឯងគិតថា final exam ឆ្នាំនេះពិបាកអត់?
61,school,ជួយពន្យល់ formula ហ្នឹងឲ្យខ្ញុំបន្តិចបានអត់?
62,school,"យើងត្រូវ present ថ្ងៃស្អែក, so ត្រូវត្រៀមខ្លួនឲ្យហើយ។"
63,school,ខ្ញុំអត់ចង់រៀន makeup class ថ្ងៃអាទិត្យសោះ។
64,school,Scholarship ហ្នឹងគេ require IELTS ប៉ុន្មាន?
65,school,ឯងបាន register មុខវិជ្ជាអីខ្លះ semester នេះ?
66,school,ខ្ញុំកំពុងតែ focus លើការសរសេរ thesis របស់ខ្ញុំ។
67,school,គ្រូគាត់ strict ណាស់រឿង attendance.
68,school,យើងអាចសុំ extension សម្រាប់ paper ហ្នឹងបានអត់?
69,school,"ខ្ញុំរៀនអត់ចូលសោះថ្ងៃនេះ, no mood តែម្តង។"
70,school,ឯងមាន past paper ឆ្នាំមុនៗអត់?
71,school,តោះបំបែកគ្នា research ម្នាក់មួយ part ទៅ។
72,school,Score ខ្ញុំធ្លាក់ខ្លាំងណាស់ quiz មិញហ្នឹង។
73,school,"គាត់រៀនពូកែសាហាវ, always top of the class."
74,school,ខ្ញុំត្រូវ retake មុខវិជ្ជានេះនៅឆ្នាំក្រោយ។
75,school,Don't forget ធ្វើ presentation slide ឲ្យហើយផង។
76,school,"ខ្ញុំខ្ជិលអាន reading assignment ហ្នឹងណាស់, វាវែងពេក។"
77,school,ឯង major អីគេពេលនៅសាកលវិទ្យាល័យ?
78,school,ថ្ងៃនេះមាន guest speaker មកនិយាយនៅសាលា។
79,school,ខ្ញុំកំពុងតែ apply ទៅរៀន master's degree.
80,school,ជួយ check grammar ក្នុង essay នេះឲ្យបន្តិចមើល។
81,school,កុំភ្លេចយក student ID មកផងពេលប្រឡង។
82,school,ខ្ញុំអត់សូវយល់ concept នេះសោះ។
83,school,គ្រូឲ្យ bonus point បើយើងឆ្លើយត្រូវ។
84,school,តោះសុំ consultation ពី teacher ក្រោយម៉ោងរៀន។
85,school,ខ្ញុំត្រូវ memorize ពាក្យទាំងនេះសម្រាប់ test ថ្ងៃស្អែក។
86,school,"Deadline ជិតដល់ហើយ, I have to rush."
87,school,គាត់បាន graduate ដោយមាន honors ទៀត។
88,school,ឯងគិតថា tuition fee សាលាហ្នឹងថ្លៃអត់?
89,school,"ខ្ញុំអត់ទាន់បានចាប់ group ទេ, can I join អ្នកឯងបានអត់?"
90,school,មេរៀននេះ requires ការគិតស៊ីជម្រៅបន្តិច។
91,school,ខ្ញុំចង់ drop មុខវិជ្ជានេះចេញព្រោះវាពិបាកពេក។
92,school,សុំខ្ចី note ឯងយកទៅកត់បន្តិចមក។
93,school,យើងត្រូវ summarize អត្ថបទនេះឲ្យខ្លី។
94,school,"ខ្ញុំអត់ទាន់ print assignment ចេញមកទេ, ភ្លេចឈឹង។"
95,school,"គ្រូហ្នឹងបង្រៀន good សាហាវ, ស្រួលយល់។"
96,school,ខ្ញុំកំពុងតែស្វែងរក internship សម្រាប់រដូវក្តៅនេះ។
97,school,ឯងបាន pass exam ហ្នឹងអត់?
98,school,"កុំ cheat ពេលប្រឡង, ប្រយ័ត្នគ្រូចាប់បាន។"
99,school,ខ្ញុំត្រូវ clear គណនីសាលាសិនទើបអាចយកសញ្ញាបត្របាន។
100,school,"Let's take a break, រៀនយូរពេកវិលមុខហើយ។"
101,tech,"ទូរស័ព្ទខ្ញុំអស់ battery ហើយ, សុំខ្ចី power bank មួយ។"
102,tech,Wifi នៅទីនេះសាហាវ lag តែម្តង។
103,tech,ជួយ tag ខ្ញុំក្នុង post ហ្នឹងផង។
104,tech,App ហ្នឹងទើបតែ update ថ្មី។
105,tech,ខ្ញុំទើបតែ upload វីដេអូហ្នឹងចូល YouTube.
106,tech,"Code ហ្នឹង run អត់ចេញទេ, មាន bug ហើយ។"
107,tech,ឯងមានបានឃើញ story គាត់ផុសម្សិលមិញអត់?
108,tech,សុំ password wifi ហាងនេះមួយមក។
109,tech,ខ្ញុំកំពុងតែ download game ថ្មី។
110,tech,"ទូរស័ព្ទឯង storage ពេញហើយ, លុបរូបខ្លះចេញទៅ។"
111,tech,"Internet ខ្សោយណាស់, លេងអត់កើតសោះ។"
112,tech,ជួយ share link ហ្នឹងចូល group ផង។
113,tech,ខ្ញុំទើបតែ install software ហ្នឹងរួច។
114,tech,"ឯងប្រើ filter អីគេហ្នឹង, ស្អាតម៉្លេះ?"
115,tech,Account ខ្ញុំត្រូវបានគេ hack បាត់ហើយ។
116,tech,កុំភ្លេច backup data ទុកផង។
117,tech,ខ្ញុំកំពុងតែ debug program ហ្នឹងសិន។
118,tech,ទូរស័ព្ទនេះ screen វាធំស្រួលមើលណាស់។
119,tech,ខ្ញុំអត់មាន account TikTok ទេ។
120,tech,ជួយ mute mic ផងពេលអត់និយាយ។
121,tech,"Server ដាច់ទៀតហើយ, ចូលអត់បានទេ។"
122,tech,ខ្ញុំកំពុងតែ edit វីដេអូសម្រាប់ vlog ខ្ញុំ។
123,tech,ឯងមានខ្សែ charge Type-C អត់?
124,tech,"Notification លោតមករហូត, រំខានសាហាវ។"
125,tech,ខ្ញុំទើបតែ buy premium subscription របស់ Spotify.
126,tech,កម្មវិធីនេះ user-friendly ណាស់។
127,tech,ខ្ញុំត្រូវ reset password ព្រោះភ្លេចបាត់ហើយ។
128,tech,ឯងចេះសរសេរ Python អត់?
129,tech,ខ្ញុំគិតថា database នេះមានបញ្ហាហើយ។
130,tech,អេក្រង់ laptop ខ្ញុំវា freeze ជាប់តែម្តង។
131,tech,ជួយ like និង subscribe channel ខ្ញុំផង។
132,tech,ខ្ញុំអត់ចូលចិត្តប្រើ default settings ទេ។
133,tech,ឯងមានកម្មវិធី scan virus ល្អៗណែនាំអត់?
134,tech,ខ្ញុំទើបតែ block គាត់ចេញពី friend list.
135,tech,ឥឡូវគេនិយមប្រើ AI សម្រាប់ជួយធ្វើការណាស់។
136,tech,ខ្ញុំកំពុងតែ test feature ថ្មីហ្នឹង។
137,tech,ទូរស័ព្ទខ្ញុំ no service សោះនៅកន្លែងនេះ។
138,tech,ឯងជួយ crop រូបហ្នឹងឲ្យរាងតូចបន្តិចមក។
139,tech,ខ្ញុំអត់ទាន់បាន sync data ចូល cloud ទេ។
140,tech,"App នេះ crash រហូត, គួរឲ្យធុញណាស់។"
141,tech,ខ្ញុំកំពុងតែរៀន coding តាមអនឡាញ។
142,tech,ឯងមានឃើញ trending topic ថ្ងៃនេះអត់?
143,tech,"កុំ click link ផ្តេសផ្តាស, ប្រយ័ត្នជាប់មេរោគ។"
144,tech,ខ្ញុំចង់ upgrade RAM ឲ្យកុំព្យូទ័រនេះបន្តិច។
145,tech,"Browser វាដើរយឺតណាស់, ត្រូវ clear cache ចេញខ្លះ។"
146,tech,ខ្ញុំទើបតែ unfriend គាត់កាលពីព្រឹកមិញ។
147,tech,ឯងប្រើ operating system អីគេ? Mac ឬ Windows?
148,tech,ខ្ញុំអត់ចេះ setup router wifi នេះទេ។
149,tech,វីដេអូនេះ viral សាហាវនៅលើហ្វេសប៊ុក។
150,tech,ខ្ញុំត្រូវ compile code នេះម្តងទៀត។
151,work,I think យើងត្រូវ meeting ម្ដងទៀតដើម្បី make sure ថាត្រូវគ្នាទាំងអស់។
152,work,"សុំទោសផង, I missed your call ព្រោះម៉ូតូខូចកណ្តាលផ្លូវ។"
153,work,"បើមានកំហុសត្រង់ណា, please comment ប្រាប់ខ្ញុំផង។"
154,work,"ថ្ងៃនេះ mood ល្អ, ធ្វើការអត់សូវមានអារម្មណ៍ថា stress ទេ។"
155,work,ឯងកុំភ្លេច double check ទិន្នន័យហ្នឹងមុនបញ្ជូនទៅ boss ណា។
156,work,"I am so tired ថ្ងៃនេះ, ងងុយគេងតាំងពីព្រឹក។"
157,school,"គ្រូហ្នឹងគាត់ fair ណាស់, ឲ្យពិន្ទុតាមសមត្ថភាពពិតៗ។"
158,work,"យើងអត់មាន choice ច្រើនទេ, ត្រូវតែ accept offer ហ្នឹងសិនទៅ។"
159,school,"ប្រព័ន្ធ internet សាលាយើងទើបតែ upgrade, ឥឡូវលឿនជាងមុន។"
160,work,ឯងចង់ញ៉ាំអី? Let's order Foodpanda មកញ៉ាំនៅ office តែម្តងទៅ។
161,school,ខ្ញុំមាន feeling ថាប្រឡងលើកនេះអត់សូវបានពិន្ទុល្អទេ។
162,work,ជួយ remind ខ្ញុំផងណាប្រយ័ត្នខ្ញុំភ្លេចមាត់។
163,work,Project នេះតម្រូវឲ្យមាន creativity ខ្ពស់មែនទែន។
164,work,ខ្ញុំអត់ទាន់ get point ដែលគាត់ចង់និយាយសោះ។
165,work,Let me know បើឯងត្រូវការជំនួយអីបន្ថែមទៀត។
166,tech,ឥឡូវនេះ AI tools ជួយសម្រួលការងារបានច្រើនណាស់។
167,work,"គាត់ឆ្លើយតប email រាង slow បន្តិច, ត្រូវរង់ចាំយូរ។"
168,work,ខ្ញុំចង់ create group មួយសម្រាប់ងាយស្រួលផ្ញើឯកសារ។
169,work,"តោះ break ៥នាទីសិន, ខ្ញុំចង់ទៅទិញកាហ្វេមួយកែវ។"
170,work,"អាទិត្យនេះរវល់សាហាវ, អត់មាន free time សោះ។"
171,work,ឯងគិតថា design មួយនេះ ok អត់?
172,tech,ខ្ញុំទើបតែ delete file ហ្នឹងចោលច្រឡំដៃបាត់ហើយ។
173,school,"បើអត់យល់អី, អាច raise hand សួរគ្រូបាន។"
174,tech,"Quality រូបនេះរាងព្រិលបន្តិច, អត់សូវច្បាស់ទេ។"
175,school,ខ្ញុំកំពុងរង់ចាំ confirmation ពីខាងសាលា។
176,work,ថ្ងៃនេះធ្វើការ overtime ទៀតហើយខ្ញុំ។
177,work,ឯងមាន experience ធ្វើការខាងផ្នែកហ្នឹងអត់?
178,work,ខ្ញុំគិតថា plan B ហាក់ដូចជា work ជាង។
179,tech,សុំ copy link ហ្នឹងផ្ញើមកឲ្យខ្ញុំតាម Telegram មក។
180,work,គាត់ពូកែខាង problem solving ណាស់។
181,work,ខ្ញុំសង្ឃឹមថាប្រាក់ខែខែនេះនឹងចេញ on time.
182,tech,ឯងបាន save number គាត់ទុកនៅ?
183,school,"មុខវិជ្ជានេះសុទ្ធតែ theory, គួរឲ្យងងុយគេងណាស់។"
184,work,ខ្ញុំត្រូវកែ format ឯកសារនេះឲ្យត្រូវតាមស្តង់ដារ។
185,school,ជួយ highlight ចំណុចសំខាន់ៗឲ្យខ្ញុំផង។
186,tech,ទូរស័ព្ទនេះ charge ថ្មលឿនសាហាវ។
187,tech,ខ្ញុំអត់សូវខ្វល់ពីរឿង likes លើហ្វេសប៊ុកទេ។
188,work,ឯងមានគម្រោងទៅណាអត់ weekend នេះ?
189,work,ការងារនេះ requires ការអត់ធ្មត់ច្រើនណាស់។
190,school,ខ្ញុំកំពុងតែព្យាយាម balance ការងារនិងការសិក្សា។
191,work,គាត់និយាយភាសាអង់គ្លេស fluent ណាស់។
192,work,យើងត្រូវរក solution សម្រាប់បញ្ហាមួយនេះ។
193,school,ខ្ញុំអត់មាន idea អីសោះសម្រាប់ topic នេះ។
194,tech,ជួយ scan QR code នេះដើម្បីបង់លុយមក។
195,work,ខ្ញុំមាន meeting ជាមួយ investors នៅថ្ងៃច័ន្ទ។
196,tech,"Application នេះគាំងរហូត, ខ្ញុំចង់តែ uninstall ចោលទេ។"
197,school,ឯងជួយ summarize អ្វីដែលយើងបានរៀនថ្ងៃនេះបន្តិចមក។
198,work,ខ្ញុំត្រូវ update profile លើ LinkedIn សិន។
199,work,ក្រុមហ៊ុនមាន policy ថ្មីពាក់ព័ន្ធនឹងការឈប់សម្រាក។
200,work,អរគុណច្រើនដែលបាន support ខ្ញុំរហូតមក។
